country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","25-10-2025 18:00:00",26.1209,85.3647,CO,10,51,42
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","25-10-2025 18:00:00",30.735567,76.775714,OZONE,7,218,158
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","25-10-2025 18:00:00",30.751462,76.762879,PM2.5,49,141,84
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","25-10-2025 18:00:00",30.751462,76.762879,NO2,13,67,31
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","25-10-2025 18:00:00",30.751462,76.762879,NH3,4,6,5
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","25-10-2025 18:00:00",30.751462,76.762879,SO2,5,12,8
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","25-10-2025 18:00:00",30.719859,76.738637,NO2,15,152,64
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","25-10-2025 18:00:00",30.719859,76.738637,OZONE,2,86,65
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","25-10-2025 18:00:00",21.194815,81.314770,OZONE,1,16,11
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","25-10-2025 18:00:00",21.185571,81.343175,OZONE,6,17,11
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","25-10-2025 18:00:00",25.599486,85.113666,CO,20,75,31
India,Bihar,Patna,"Samanpura, Patna - BSPCB","25-10-2025 18:00:00",25.596727,85.085624,PM10,137,500,296
India,Bihar,Patna,"Samanpura, Patna - BSPCB","25-10-2025 18:00:00",25.596727,85.085624,NO2,30,51,45
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","25-10-2025 18:00:00",25.366336,87.117468,CO,54,59,57
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","25-10-2025 18:00:00",25.03280,85.41948,NH3,6,7,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","25-10-2025 18:00:00",25.03280,85.41948,CO,80,100,88
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","25-10-2025 18:00:00",25.892357,86.590325,NH3,4,4,4
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.695381,77.181665,PM10,129,424,304
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.695381,77.181665,NO2,24,159,75
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","25-10-2025 18:00:00",28.4706914,77.1099364,CO,57,113,68
India,Delhi,Delhi,"Bawana, Delhi - DPCC","25-10-2025 18:00:00",28.776200,77.051074,PM2.5,193,445,372
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","25-10-2025 18:00:00",28.7256504,77.2011573,PM2.5,237,404,325
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","25-10-2025 18:00:00",28.7256504,77.2011573,NO2,1,40,21
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","25-10-2025 18:00:00",28.5512005,77.2735737,PM10,129,427,276
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","25-10-2025 18:00:00",25.586562,85.043586,PM10,104,193,150
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","25-10-2025 18:00:00",25.586562,85.043586,CO,25,83,35
