city,latitude,longitude,avg_pollution
Khanna,30.736056,76.209694,52.57
Ludhiana,30.902800,75.808600,91.8
"Mandi Gobindgarh",30.649961,76.331442,53.29
Ajmer,26.470859,74.646594,38.43
Banswara,23.555190,74.440010,49.57
Rourkela,22.220833,84.809444,53.57
Tensa,21.869985,85.167016,40.5
Bhubaneswar,20.240790,85.836784,38.57
Bhubaneswar,20.346520,85.816300,41.86
Pali,25.771061,73.340227,50.57
Pratapgarh,24.041198,74.780702,74.71
Rajsamand,25.036360,73.883502,42.14
"Sawai Madhopur",26.031443,76.359327,69.43
Karauli,26.506177,77.025989,60.29
Kota,25.164090,75.858137,87
Kota,25.196024,75.855668,86.29
Kota,25.143890,75.821256,85.14
Nagaur,27.213494,73.734444,56
Bikaner,28.018792,73.292658,76.57
Bundi,25.435774,75.644272,75
Chittorgarh,24.892047,74.623527,92.71
Churu,28.296139,74.961696,62.86
Dausa,26.895552,76.334753,74.43
Dholpur,26.699557,77.898881,50.43
Dungarpur,23.837789,73.714926,60.86
Sikar,27.608912,75.153302,78.43
"Sri Ganganagar",29.931624,73.864511,105.43
Hanumangarh,29.610750,74.283608,83.29
Jaipur,26.843698,75.766894,87
Jaipur,26.786682,75.827928,72.14
Jodhpur,26.295810,73.082283,53.43
Jodhpur,26.215415,73.070156,52.14
Jodhpur,26.253384,72.976571,53.71
Jaipur,26.960669,75.771817,55.57
Jalore,25.344694,72.626208,51.14
Jhalawar,24.588397,76.172782,86
Jodhpur,26.268249,73.019385,49
Tonk,26.159933,75.780517,56.71
Udaipur,24.588617,73.632140,53.71
Gangtok,27.338530,88.614099,11.71
Ariyalur,11.068250,79.070330,19.6
Chengalpattu,12.877732,80.083481,42.86
Kanchipuram,12.864618,79.659968,15.57
Karur,10.967820,78.080882,10.43
Nagapattinam,10.798548,79.838212,16.67
Ooty,11.406829,76.713897,20
Perundurai,11.258242,77.552761,17
Pudukottai,10.423417,78.784889,21
Chennai,12.953300,80.235700,22.14
Chennai,13.103600,80.290900,29.17
Coimbatore,11.032800,77.034900,18.43
Coimbatore,10.942451,76.978996,24.14
Dindigul,10.358535,77.984321,28.67
Gummidipoondi,13.412700,80.108100,58.6
Hosur,12.746998,77.813811,26.43
Virudhunagar,9.559382,77.948828,23.5
Hyderabad,17.540891,78.358528,31.43
Hyderabad,17.460103,78.334361,16.33
Tiruchirappalli,10.830158,78.691849,16.86
Tirunelveli,8.728442,77.696200,20.71
Tirupur,11.097360,77.322867,15.5
Ramanathapuram,9.363990,78.831977,15.57
Ranipet,12.952707,79.303940,24.33
Salem,11.679111,78.125052,19.33
Thanjavur,10.765482,79.138997,12.71
Chennai,12.909916,80.107654,22.14
Chennai,13.066400,80.211200,35
Chennai,13.127800,80.264200,25.83
Chennai,13.166200,80.258400,31.86
Chennai,13.164544,80.262850,24.57
Agra,27.237110,78.019360,41.86
Agra,27.106972,78.000111,49.14
Agra,27.198658,78.005981,69.83
Agra,27.194120,77.962370,39.86
Agra,27.169338,78.035820,40.29
Hyderabad,17.455946,78.433215,21
Hyderabad,17.417094,78.457437,27.43
Agartala,23.817550,91.272697,21.4
Hyderabad,17.470431,78.566959,31.14
Hyderabad,17.518400,78.278777,14.29
Hyderabad,17.585705,78.126199,29.43
"Greater Noida",28.472720,77.482000,103.57
"Greater Noida",28.557054,77.453663,125.29
Hapur,28.725645,77.749675,73.43
Kanpur,26.428282,80.327067,50.14
Kanpur,26.509954,80.249612,49
Kanpur,26.470314,80.322986,53.67
Khurja,28.234893,77.868300,63.86
Ghaziabad,28.685382,77.453839,91.29
Gorakhpur,26.730136,83.433859,45.29
Agra,27.198620,77.920660,27.83
Baghpat,28.964949,77.278761,79.67
Bareilly,28.389109,79.429637,45.43
Hyderabad,17.544899,78.486949,30
Hyderabad,17.372060,78.508640,33.29
Hyderabad,17.528544,78.286195,29.43
Firozabad,27.168897,78.376960,27.57
Ghaziabad,28.646233,77.358075,123
Moradabad,28.885280,78.738800,48
Moradabad,28.856664,78.772638,42
Moradabad,28.849399,78.742362,65.29
Moradabad,28.802625,78.753728,59.29
Lucknow,26.766433,80.927299,46.29
Lucknow,26.868120,81.005119,45.67
Lucknow,26.906111,80.948222,79.86
Lucknow,26.907230,80.985790,50.71
Kashipur,29.212411,78.961175,37.86
Rishikesh,30.075911,78.285955,20
Asansol,23.685297,86.945968,63.14
Varanasi,25.301778,82.996789,26.43
Varanasi,25.262326,82.995408,28.14
Vrindavan,27.571409,77.655757,41
Dehradun,30.269444,78.044167,27.17
Asansol,23.618183,87.105718,54.86
Asansol,23.616515,87.119133,51.43
Barrackpore,22.760558,88.361759,42.43
Lucknow,26.833997,80.891736,78.57
Muzaffarnagar,29.472351,77.719403,91.57
Noida,28.544761,77.323126,161.57
Noida,28.589800,77.310100,140.57
Meerut,29.063510,77.709723,107.29
Moradabad,28.840739,78.697531,82
Prayagraj,25.425602,81.917152,42.86
Varanasi,25.350599,82.908307,44.2
Durgapur,23.567923,87.306843,44.86
Durgapur,23.508764,87.354440,37.71
Durgapur,23.549395,87.300496,44.86
Haldia,22.060470,88.109737,61.57
Howrah,22.629801,88.352017,63.71
Howrah,22.602557,88.310566,61.43
Howrah,22.611968,88.347422,66.14
Howrah,22.568732,88.279728,60.86
Kolkata,22.536751,88.363802,51.86
Kolkata,22.581570,88.410025,37.14
Kolkata,22.556640,88.342674,55.14
Kolkata,22.499290,88.369170,75.14
Kolkata,22.544808,88.340369,64.29
Siliguri,26.687923,88.415250,46.5
Begusarai,25.427420,86.138861,56.57
Bhagalpur,25.265194,87.012947,46.71
Guwahati,26.108870,91.589544,42.43
Guwahati,26.187500,91.744194,29.6
Anantapur,14.675886,77.593027,31.57
Chittoor,13.204880,79.097889,42.5
Gaya,24.762518,84.982348,29
Delhi,28.750050,77.111262,82.57
Delhi,28.498571,77.264840,103.71
Delhi,28.562776,77.118005,170.5
Milupara,22.191017,83.519701,51.83
Raipur,21.258815,81.578979,26.43
Raipur,21.371751,81.664929,38.83
Kunjemura,22.126650,83.483212,24.29
Delhi,28.815329,77.153010,109.71
Delhi,28.710508,77.249485,108.29
Delhi,28.822836,77.101981,109.29
Delhi,28.657381,77.158545,153.6
Delhi,28.611281,77.237738,126.29
Delhi,28.636429,77.201067,101.43
Delhi,28.684678,77.076574,123.43
Delhi,28.591825,77.227307,150
Ahmedabad,23.076793,72.627874,48.86
Jorapokhar,23.707909,86.414670,25.33
Sonipat,29.027200,77.062100,76.71
Panchgaon,28.315300,76.914300,45.14
Panchkula,30.705778,76.853181,53.2
Gurugram,28.422681,77.148944,97.6
Bahadurgarh,28.670100,76.925400,71.33
Kalaburagi,17.321993,76.822628,39
Koppal,15.347630,76.181767,23.5
Mangalore,12.889250,74.853000,25.33
Shivamogga,13.940000,75.555917,21.57
Bengaluru,12.917348,77.622813,31.43
Bhopal,23.264759,77.381568,59.71
Damoh,23.817487,79.446246,48
Thrissur,10.532400,76.215900,27.83
Indore,22.678000,75.855900,30.67
Indore,22.708400,75.881500,31.5
Satna,24.584344,80.854941,41.4
Badlapur,19.164850,73.234090,31.57
Aurangabad,19.875620,75.387310,12.6
Mumbai,18.967020,72.842140,35.57
Mumbai,19.049460,72.923000,24
Mumbai,19.083694,72.920967,18.29
Mumbai,19.060498,72.923356,36.14
Mumbai,19.383200,72.820400,20.43
Mumbai,19.110740,72.860840,26.43
Pune,18.605770,73.749976,21.67
Baripada,21.941841,86.728318,45.71
"Navi Mumbai",19.090337,73.014232,17.86
"Navi Mumbai",19.057575,73.015137,19.43
Keonjhar,21.643900,85.599355,54.71
Alwar,27.554793,76.611536,58.14
Baran,25.106006,76.469948,64.71
Patiala,30.349388,76.366642,45.71
Bhiwadi,28.207266,76.829265,116.43
Amritsar,31.620000,74.876512,54.14
Jaipur,26.950293,75.730943,83.86
Jaisalmer,26.912329,70.909168,59.29
Jaipur,26.902909,75.836858,72.86
Jaipur,26.916409,75.799490,52.29
Jhunjhunu,28.108988,75.386577,59.29
Jodhpur,26.358805,73.047444,42.86
Cuddalore,11.682990,79.753210,21.5
Namakkal,11.273992,78.163545,13.86
Thoothukudi,8.816428,78.099039,20.6
Vellore,12.909494,79.131861,29.5
Madurai,9.865935,78.022669,26.57
Hyderabad,17.393559,78.339194,33.86
Hyderabad,17.429398,78.569354,37.86
Jhansi,25.454700,78.603900,25.43
Lucknow,26.845881,80.936554,94.57
Meerut,28.999264,77.759035,92.29
Bareilly,28.359581,79.414455,23.43
Hyderabad,17.349694,78.451437,27.33
Bulandshahr,28.406963,77.849831,90.71
Firozabad,27.159400,78.395300,37.86
Ghaziabad,28.757294,77.278792,117.29
Ghaziabad,28.660335,77.357256,132.43
